/Universidade Federal do Estado do Rio de Janeiro|Universidade Federal do Estado do Rio de Janeiro|Brazil
/Universidade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
/Universidade Federal Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
/USP|Universidade de São Paulo|Brazil
"; Fundação Universidade Federal do Rio Grande"|Fundação Universidade Federal do Rio Grande|Brazil
"; Universidade Federal do Paraná"|Universidade Federal do Paraná|Brazil
¬ Centro de Estudos de Cultura Contemporânea|Centro de Estudos de Cultura Contemporânea|Brazil
15a Regional de Saúde de Maringá|Secretaria de Saúde de Maringá|Brazil
1Prof. Magíster en Odontología Preventiva y Social de la UFRN y alumna de Doctorado del programa de post grado en Ciencias de la Salud - CCS - UFRN|Universidade Federal do Rio Grande do Norte|Brazil
3M do Brasil|3M do Brasil|Brazil
3M do Brasil Ltda|3M do Brasil|Brazil
3M do Brasil Ltda.|3M do Brasil|Brazil
3Prof. Dr. en Microbiología DOD - UFRN|Universidade Federal do Rio Grande do Norte|Brazil
a Escola Paulista de Medicina|Universidade Federal de São Paulo|Brazil
A. C. Camargo Cancer Center|Hospital A. C. Camargo|Brazil
A. C. Camargo Cancer Hospital|Hospital A. C. Camargo|Brazil
A. C. Camargo Hospital|Hospital A. C. Camargo|Brazil
A.C. Camargo Cancer Center|Hospital A. C. Camargo|Brazil
A.C. Camargo Cancer Hospital|Hospital A. C. Camargo|Brazil
A.C. Camargo Hospital|Hospital A. C. Camargo|Brazil
A.C. Camargo Hospital Antonio Prudente Foundation|Hospital A. C. Camargo|Brazil
A.C. Camargo Hospital Biobank|Hospital A. C. Camargo|Brazil
Ãrea de Concentración en Odontología Legal y Deontología de la FOP/UNICAMP|Universidade Estadual de Campinas|Brazil
AB-Biotics|AB-Biotics|Spain
AB-BIOTICS SA|AB-Biotics|Spain
AB-Biotics, S. A|AB-Biotics|Spain
Abbott Laboratoires S. A.|Abbott Laboratories|USA
Abbott Laboratories|Abbott Laboratories|USA
Abbott Laboratories S.A.|Abbott Laboratories|USA
Abbott Laboratory of Brazil|Abbott Laboratories|USA
ABC Foundation|Fundação do ABC|Brazil
ABC Foundation Medical School|Fundação do ABC|Brazil
ABC Foundation School of Medicine|Fundação do ABC|Brazil
ABC Medical Center|Fundação do ABC|Brazil
ABC Medical College|Fundação do ABC|Brazil
ABC Medical School and Padre Anchieta Teaching Hospital|Fundação do ABC|Brazil
ABC Medical School, Santo Andre|Fundação do ABC|Brazil
ABC Medicine School|Fundação do ABC|Brazil
ABC Region Medical School|Fundação do ABC|Brazil
ABC School of Medicine|Fundação do ABC|Brazil
ABCM|Associação Brasileira de Engenharia e Ciências Mecânicas|Brazil
ABCM University of São Paulo|Universidade de São Paulo|Brazil
ABENFO|Associação Brasileira de Obstetríces e Enfermeiros Obstetras|Brazil
ABENFO/PR|Associação Brasileira de Obstetríces e Enfermeiros Obstetras|Brazil
ABENFO/RJ|Associação Brasileira de Obstetríces e Enfermeiros Obstetras|Brazil
ABENFO-Goiás|Associação Brasileira de Obstetríces e Enfermeiros Obstetras|Brazil
Abo Akademi|Åbo Akademi Univeristy|Finland
Åbo Akademi|Åbo Akademi Univeristy|Finland
Åbo Akademi Univeristy|Åbo Akademi Univeristy|Finland
Abo Akademi University|Åbo Akademi Univeristy|Finland
Åbo Akademi University|Åbo Akademi Univeristy|Finland
Abo Akademi University, Vasa|Åbo Akademi Univeristy|Finland
AC Camargo Cancer Hospital|Hospital A. C. Camargo|Brazil
AC/APTA|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Academia Brasileira de Ciência|Academia Brasileira de Ciências|Brazil
Academia Brasileira de Ciências|Academia Brasileira de Ciências|Brazil
Academia da Força Aérea (AFA) Brasileira|Academia da Força Aérea Brasileira|Brazil
Academia da Forca Aerea Brasileira|Academia da Força Aérea Brasileira|Brazil
Academia da Força Aérea Brasileira (AFA)|Academia da Força Aérea Brasileira|Brazil
Academia de Ciências Físicas, Matemáticas e Naturais|Academia de Ciencias Físicas, Matemáticas y Naturales|Venezuela
Academia de Ciências Fisicas, Matematicas e Naturais,|Academia de Ciencias Físicas, Matemáticas y Naturales|Venezuela
Academia de Ciencias Fisicas, Matematicas y Naturales|Academia de Ciencias Físicas, Matemáticas y Naturales|Venezuela
Academia de Ciencias Físicas, Matemáticas y Naturales|Academia de Ciencias Físicas, Matemáticas y Naturales|Venezuela
Academia de Ciencias Fisicas, Matematicas y Naturales,|Academia de Ciencias Físicas, Matemáticas y Naturales|Venezuela
Academia Paulista de Psicologia|Academia Paulista de Psicologia|Brazil
Academic Centre for Dentistry Amsterdam|University of Amsterdam|Netherlands
Academic Medical Center|Academisch Medisch Centrum|Netherlands
Acadêmica de Medicina da PUCPR|Pontifícia Universidade Católica do Paraná|Brazil
Ação Comunitária de Saúde|Sanatorinhos Ação Comunitária de Saúde|Brazil
Acharya N.G. Ranga Agricultural University|Acharya N.G. Ranga Agricultural University|India
Acharya N.G. Ranga Agricultural University (ANGRAU)|Acharya N.G. Ranga Agricultural University|India
Acre Federal University|Universidade Federal do Acre|Brazil
Acre Federal University (UFAC)|Universidade Federal do Acre|Brazil
Acta Paulista de Enfermagem|Acta Paulista de Enfermagem|Brazil
"Adam Mickiewicz Universiteit in Pozna&#324; (Polen)"|Adam Mickiewicz University|Polony
Adam Mickiewicz University|Adam Mickiewicz University|Polony
ADM/FACE/UnB|Universidade de Brasília|Brazil
Administración Nacional de Laboratorios|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
"Administración Nacional de Laboratorios e Institutos de Salud ""Dr. Carlos G. Malbrán"""|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administracion Nacional de Laboratorios e Institutos de Salud (ANLIS)|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administracion Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbran”|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) Dr. C. G. Malbrán|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) Dr. Carlos G. Malbrán|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud ‘Dr. Carlos G. Malbrán’|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud Carlos G Malbrán|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud de la Nación|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud Dr Carlos G. Malbrán|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud Dr, Carlos G. Malbrán (ANLIS)|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administracion Nacional de Laboratorios e Institutos de Salud Dr. Carlos G. Malbran|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud Dr. Carlos G. Malbrán|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud Dr. Carlos G. Malbrán (ANLIS)|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administración Nacional de Laboratorios e Institutos de Salud, Dr. Carlos G. Malbrán|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
Administracion Nacional de Medicamentos, Alimentos y Tecnologia Medica|Administración Nacional de Medicamentos, Alimentos y Tecnología Médica|Argentina
Administración Nacional de Medicamentos, Alimentos y Tecnología Médica|Administración Nacional de Medicamentos, Alimentos y Tecnología Médica|Argentina
Administración Nacional de Medicamentos, Alimentos y Tecnología Médica (ANMAT)|Administración Nacional de Medicamentos, Alimentos y Tecnología Médica|Argentina
Administración Nacional de Medicamentos, Alimentos y Tecnología Medica-ANMAT|Administración Nacional de Medicamentos, Alimentos y Tecnología Médica|Argentina
Administrador, Professor Doutor em Ciências Florestais - Universidade Federal do Tocantins|Universidade Federal do Tocantins|Brazil
Adnan Menderes Üniversitesi|Adnan Menderes Üniversitesi|Turkey
Adnan Menderes University|Adnan Menderes Üniversitesi|Turkey
Adnan Menderes University Faculty of Medicine|Adnan Menderes Üniversitesi|Turkey
Adnan Menderes University Hospital|Adnan Menderes Üniversitesi|Turkey
Adnan Menderes University Medical School Hospital|Adnan Menderes Üniversitesi|Turkey
Adolfo Lutz Institute of Campinas|Instituto Adolfo Lutz|Brazil
Adolfo Lutz Institute Researcher|Instituto Adolfo Lutz|Brazil
Adubos Trevo|Adubos Trevo|Brazil
Adubos Trevo S.A.|Adubos Trevo|Brazil
Adubos Trevo S/A.|Adubos Trevo|Brazil
Adventist University of Chile|Universidad Adventista de Chile|Chile
AES Tietê|AES Tietê|Brazil
AES Tietê S.A|AES Tietê|Brazil
Aga Khan University|Aga Khan University|Pakistan
Aga Khan University Hospital|Aga Khan University|Pakistan
Aga Khan University Medical College|Aga Khan University|Pakistan
Agêcnia Paulista de Tecnologia dos Agronegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agència d´Avaluació de Tecnologia i Recerca Mèdiques|Agència d'Avaluació de Tecnologia i Recerca Mèdiques|Spain
Agéncia d'Avaluació de Tecnologia i Recerca Mèdiques|Agència d'Avaluació de Tecnologia i Recerca Mèdiques|Spain
Agència d'Avaluacio de Tecnologia i Recerca Mèdiques|Agència d'Avaluació de Tecnologia i Recerca Mèdiques|Spain
Agència d'Avaluació de Tecnologia i Recerca Mèdiques|Agència d'Avaluació de Tecnologia i Recerca Mèdiques|Spain
